"ReviewPacketId","BusinessUnit","Owner","Pattern","Source","RiskLevel","ReviewStatus","WhyReview","WhatToReviewFirst","SuggestedNextAction","MatchingItems","Directories","Files","FindingCount","ConflictCount","PartialShareCount","DirectIdentityCount","DirectGroupCount","ExpandedMemberCount","MigrationReadiness","RelatedDataAreaCount"
"owner-review-0001","Engineering","Engineering Data Owners","C:\ShareSurferEnterpriseLab\Engineering*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; permission-bearing security groups","access conflicts; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","12","3","9","0","45","0","5","3","8","Review","1"
"owner-review-0002","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0164*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0003","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0163*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0004","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0162*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0005","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0165*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0006","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0168*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0007","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0167*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0008","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0166*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0009","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0161*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0010","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0156*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0011","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0155*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0012","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0154*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0013","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0157*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0014","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0160*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0015","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0159*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0016","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0158*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0017","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0169*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0018","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0180*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0019","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0179*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0020","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0178*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0021","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0181*","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
