"Name","Required","Passed","Status","Evidence","NextAction"
"WindowsCollectorHost","True","True","Pass","ID-6CE834AE81D8","Run lab validation from a Windows collector host with Windows PowerShell 5.1."
"PowerShell51","True","True","Pass","ID-6DF0353E7C4E","Run from Windows PowerShell 5.1 for V1 validation."
"ActiveDirectoryModule","True","True","Pass","ID-27AFA0244B6F","Install or enable RSAT Active Directory PowerShell tools on the collector host."
"AdObjectNameCollisions","True","True","Pass","ID-FDA5BA5C79CB","Rename or remove any existing AD user or group whose name matches a planned ShareSurfer lab object but is outside the ShareSurferLab OU."
"SmbShareCommands","True","True","Pass","ID-C826863E5B76","Run from a Windows host with the SMBShare PowerShell module available."
"SmbSharePathCollisions","True","True","Pass","ID-CDBBD5C2732C","Rename or remove any existing SMB share whose name matches a planned ShareSurfer lab share but points at a different path."
"RunRootWritable","True","True","Pass","ID-A52BB906BECA","Choose an output root that the collector account can create and write to."
"ExistingLabRoot","False","True","Pass","ID-ECCC42F49E4B","Use -CreateLab for a new fixture, or point -LabRoot at an existing ShareSurfer lab root."
"PlanDiskBudget","True","True","Pass","ID-B89684FC7477","Reduce enterprise shares/files per share or raise MaxLabBytes before creating the lab."
"TargetVolumeFreeSpace","True","True","Pass","ID-90ECFFA81B85","Choose a lab root on a volume with enough free space for the configured MaxLabBytes, or lower the lab data budget before creating the lab."
"PlanCriteria","True","True","Pass","ID-64D05FDFE69D","Adjust the lab scale inputs until all required plan criteria meet their minimum values."
"WindowsPathComponents","True","True","Pass","ID-E0A1A15D8834","Shorten fixture path segments so each Windows path component is 255 characters or less."
"EnterpriseIncludeFiles","True","True","Pass","ID-1395B834FC6F","Use -IncludeFiles for enterprise validation so real file objects are scanned and proven."
