"Name","Required","Passed","EvidenceStatus","EvidenceSource","ActualValue","MinimumValue","EvidenceDetail","NextAction"
"FocusedAclScenarios","True","True","PlanOnly","LabPlan","256","1","ID-D44B97CAE6D3","Create or scan the lab so this criterion is backed by live directory, filesystem, or export evidence."
"EnterpriseUserPopulation","True","True","LiveEvidence","ActiveDirectory","2500","2500","ID-D179D487437A","No action needed for this criterion."
"EnterpriseGroupPopulation","True","True","LiveEvidence","ActiveDirectory","500","500","ID-0095D5117C68","No action needed for this criterion."
"EnterpriseEmployeeIdentifierCoverage","True","True","LiveEvidence","ScanExport:identities.csv","255","1","ID-5258A9EA0A07","No action needed for this criterion."
"EnterpriseManagerChainCoverage","True","True","LiveEvidence","ScanExport:identities.csv","252","1","ID-31AE1054438C","No action needed for this criterion."
"EnterpriseUserObsCoverage","True","True","LiveEvidence","ScanExport:identities.csv","255","1","ID-C1B710BF537F","No action needed for this criterion."
"EnterpriseSharePopulation","True","True","LiveEvidence","ScanExport:shares.csv","250","250","ID-D62370EBCC6F","No action needed for this criterion."
"EnterpriseRealFiles","True","True","LiveEvidence","ScanExport:items.csv","2251","2000","ID-1B50F41A532A","No action needed for this criterion."
"EnterpriseDeepPaths","True","True","LiveEvidence","ScanExport:items.csv","4201","1","ID-CB36699FA663","No action needed for this criterion."
"EnterpriseLongPathPolicy","True","True","LiveEvidence","ScanExport:findings.csv","2","1","ID-39FD87096AD7","No action needed for this criterion."
"EnterpriseSharePermissions","True","True","LiveEvidence","ScanExport:share_permissions.csv","500","250","ID-0B2827006680","No action needed for this criterion."
"EnterpriseAclEntries","True","True","LiveEvidence","ScanExport:acl_entries.csv","41278","256","ID-0B967444C028","No action needed for this criterion."
"EnterpriseFileAclEntries","True","True","LiveEvidence","ScanExport:acl_entries.csv","11244","1","ID-EEB4C2800BDB","No action needed for this criterion."
"EnterpriseOwnershipEvidence","True","True","LiveEvidence","ScanExport:items.csv","5726","1","ID-0B7C73434D33","No action needed for this criterion."
"EnterpriseDeepExplicitAceFindings","True","True","LiveEvidence","ScanExport:findings.csv","251","1","ID-B539CC3C37D2","No action needed for this criterion."
"EnterpriseBrokenInheritanceFindings","True","True","LiveEvidence","ScanExport:findings.csv","4","1","ID-17CFAE23E189","No action needed for this criterion."
"EnterpriseConflictFindings","True","True","LiveEvidence","ScanExport:conflicts.csv","32309","1","ID-D80063903F93","No action needed for this criterion."
"EnterpriseCollectionErrors","True","True","LiveEvidence","ScanExport:collection_errors.csv","4","0","ID-9B1C6487B391","No action needed for this criterion."
"EnterpriseGroupExpansion","True","True","LiveEvidence","ScanExport:group_edges.csv","1253","1","ID-FDC19CABD6C8","No action needed for this criterion."
"EnterprisePermissionGroupObsCoverage","True","True","LiveEvidence","ScanExport:identities.csv","498","498","ID-4E7FD18A161B","No action needed for this criterion."
"EnterpriseOwnerRiskPivots","True","True","LiveEvidence","ScanExport:owner_risk_pivots.csv","250","1","ID-080E5E31D2A8","No action needed for this criterion."
"EnterpriseRelatedDataAreas","True","True","LiveEvidence","ScanExport:related_data_areas.csv","250","1","ID-3E35E6D12DD9","No action needed for this criterion."
"EnterpriseOwnerReviewPackets","True","True","LiveEvidence","ScanExport:owner_review_packets.csv","250","1","ID-765292D37E98","No action needed for this criterion."
"EnterpriseDiskBudget","True","True","LiveEvidence","FileSystem","1","1","ID-B871CA393C84","No action needed for this criterion."
