"ReviewPacketId","BusinessUnit","Owner","Pattern","Source","RiskLevel","ReviewStatus","WhyReview","WhatToReviewFirst","SuggestedNextAction","MatchingItems","Directories","Files","FindingCount","ConflictCount","PartialShareCount","DirectIdentityCount","DirectGroupCount","ExpandedMemberCount","MigrationReadiness","RelatedDataAreaCount"
"owner-review-0001","ID-E2673D1A42EE","ID-E2935BE59904","ID-8D64C5185490","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; permission-bearing security groups","access conflicts; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","12","3","9","0","45","0","5","3","8","Review","1"
"owner-review-0002","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-029A5AF7BD28","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0003","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-FB7F34D06E3B","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0004","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-71EC3A14B319","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0005","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-461CC4F90EC9","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0006","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-66A1E839001C","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0007","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-88D691811520","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0008","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-809FB8D1B8FF","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0009","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-F67585FF68B7","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0010","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-9B7AE94E6574","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0011","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-04F630CCCB0A","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0012","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-C6FAB0365DFE","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0013","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-BDC06E1A4F04","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0014","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-70FF7D42ADD5","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0015","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-10727FE3233B","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0016","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-BD6AF7091635","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0017","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-8F6A3B04F364","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0018","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-E96D0CE3525B","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0019","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-5BC73A56189C","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0020","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-5B3FC8C23820","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
"owner-review-0021","ID-57D2DAACE60A","ID-2ECFB50A6780","ID-E21B81FBCC3E","LabPlan","High","High priority review","high-priority access or migration risk; share-vs-file permission mismatch; migration or governance finding; permission-bearing security groups","access conflicts; findings; permissioned groups; expanded members","Confirm intended access with the owner, then resolve share-vs-file permission mismatches.","23","14","9","1","130","0","6","4","9","Review","1"
