"Name","Required","Passed","Status","Evidence","NextAction"
"WindowsCollectorHost","True","True","Pass","IsWindows=True; PSVersion=5.1.26100.32684; PSEdition=Desktop","Run lab validation from a Windows collector host with Windows PowerShell 5.1."
"PowerShell51","True","True","Pass","PSVersion=5.1.26100.32684; PSEdition=Desktop","Run from Windows PowerShell 5.1 for V1 validation."
"ActiveDirectoryModule","True","True","Pass","Module=C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\ActiveDirectory\ActiveDirectory.psd1","Install or enable RSAT Active Directory PowerShell tools on the collector host."
"AdObjectNameCollisions","True","True","Pass","LabOu=OU=ShareSurferLab,DC=lab,DC=contoso,DC=com; CheckedExistingObjects=9; Collisions=","Rename or remove any existing AD user or group whose name matches a planned ShareSurfer lab object but is outside the ShareSurferLab OU."
"SmbShareCommands","True","True","Pass","Missing=","Run from a Windows host with the SMBShare PowerShell module available."
"SmbSharePathCollisions","True","True","Pass","CheckedExistingShares=0; Collisions=","Rename or remove any existing SMB share whose name matches a planned ShareSurfer lab share but points at a different path."
"RunRootWritable","True","True","Pass","RunRoot=C:\ShareSurfer\lab-validation\20260605-101639; Exists=True","Choose an output root that the collector account can create and write to."
"ExistingLabRoot","False","True","Pass","LabRoot=C:\ShareSurferEnterpriseLab; Exists=True; CreateLab=True","Use -CreateLab for a new fixture, or point -LabRoot at an existing ShareSurfer lab root."
"PlanDiskBudget","True","True","Pass","EstimatedBytes=1024000; MaxLabBytes=2147483648","Reduce enterprise shares/files per share or raise MaxLabBytes before creating the lab."
"TargetVolumeFreeSpace","True","True","Pass","LabRoot=C:\ShareSurferEnterpriseLab; Volume=C:\; FreeBytes=65408290816; RequiredBytes=2147483648","Choose a lab root on a volume with enough free space for the configured MaxLabBytes, or lower the lab data budget before creating the lab."
"PlanCriteria","True","True","Pass","FailedPlanCriteria=","Adjust the lab scale inputs until all required plan criteria meet their minimum values."
"WindowsPathComponents","True","True","Pass","BadSegmentCount=0; Examples=","Shorten fixture path segments so each Windows path component is 255 characters or less."
"EnterpriseIncludeFiles","True","True","Pass","Scale=Enterprise; IncludeFiles=True","Use -IncludeFiles for enterprise validation so real file objects are scanned and proven."
